scheme_code,scheme_name,net_asset_value,repurchase_price,sale_price,date,scheme_classification,scheme_type,scheme_category,fund_family,fund_id,scheme_short_name,date_new,nav,sale_price_1,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,238.9039,236.5149,238.9039,20-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,236.5149,2/20/2014,238.9039,238.9039,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,240.2675,237.8648,240.2675,21-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,237.8648,2/21/2014,240.2675,240.2675,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,240.9376,238.5282,240.9376,24-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,238.5282,2/24/2014,240.9376,240.9376,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,241.9047,239.4857,241.9047,25-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,239.4857,2/25/2014,241.9047,241.9047,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,243.0198,240.5896,243.0198,26-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,240.5896,2/26/2014,243.0198,243.0198,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,244.0898,241.6489,244.0898,28-Feb-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,241.6489,2/28/2014,244.0898,244.0898,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,242.3706,239.9469,242.3706,3-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,239.9469,3/3/2014,242.3706,242.3706,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,245.3004,242.8474,245.3004,4-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,242.8474,3/4/2014,245.3004,245.3004,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,246.7735,244.3058,246.7735,5-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,244.3058,3/5/2014,246.7735,246.7735,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,250.2428,247.7404,250.2428,6-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,247.7404,3/6/2014,250.2428,250.2428,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,255.2725,252.7198,255.2725,7-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,252.7198,3/7/2014,255.2725,255.2725,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,256.9443,254.3749,256.9443,10-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,254.3749,3/10/2014,256.9443,256.9443,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,255.8646,253.306,255.8646,11-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,253.306,3/11/2014,255.8646,255.8646,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,255.3809,252.8271,255.3809,12-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,252.8271,3/12/2014,255.3809,255.3809,,,,,,,,,,
118531,Franklin India Bluechip Fund- Direct - Growth,254.858,252.3094,254.858,13-Mar-14,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,Franklin Templeton Mutual Fund,27,252.3094,3/13/2014,254.858,254.858,,,,,,,,,,
