scheme_code,scheme_name,net_asset_value,repurchase_price,sale_price,date,scheme_classification,scheme_type,scheme_category,fund_family,fund_id,scheme_short_name,date_new,nav,sale_price_1
130504,HDFC Small Cap Fund - Direct Dividend Plan,18.914,18.725,18.914,28-Jul-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.7250,2014-07-28,18.914,18.914
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.03,18.84,19.03,30-Jul-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.8400,2014-07-30,19.03,19.03
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.081,18.89,19.081,31-Jul-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.8900,2014-07-31,19.081,19.081
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.013,18.823,19.013,01-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.823,2014-08-01,19.013,19.013
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.187,18.995,19.187,04-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.995,2014-08-04,19.187,19.187
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.248,19.056,19.248,05-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,19.056,2014-08-05,19.248,19.248
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.145,18.954,19.145,06-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.954,2014-08-06,19.145,19.145
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.132,18.941,19.132,07-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.941,2014-08-07,19.132,19.132
130504,HDFC Small Cap Fund - Direct Dividend Plan,18.787,18.599,18.787,08-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.599,2014-08-08,18.787,18.787
130504,HDFC Small Cap Fund - Direct Dividend Plan,18.94,18.751,18.94,11-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.751,2014-08-11,18.94,18.94
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.025,18.835,19.025,12-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.8350,2014-08-12,19.025,19.025
130504,HDFC Small Cap Fund - Direct Dividend Plan,18.859,18.67,18.859,13-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.67,2014-08-13,18.859,18.859
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.034,18.844,19.034,14-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,18.8440,2014-08-14,19.034,19.034
130504,HDFC Small Cap Fund - Direct Dividend Plan,19.34,19.147,19.34,18-Aug-2014,Open Ended Schemes ( Growth ),Open Ended Schemes , Growth ,HDFC Mutual Fund,9,19.147,2014-08-18,19.34,19.34
