scheme_code,scheme_name,net_asset_value,repurchase_price,sale_price,date,scheme_classification,scheme_type,scheme_category,fund_family,fund_id,scheme_short_name,date_new,nav,sale_price_1,Return,Variance,SD,NIFTY 50 Return,Var N50,SD  Nifty
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3474,12.3474,12.3474,9-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3474,3/9/2015,12.3474,12.3474,-0.41%,6.59669E-09,8.122E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3435,12.3435,12.3435,10-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3435,3/10/2015,12.3435,12.3435,-0.03%,3.87587E-11,6.22565E-06,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3314,12.3314,12.3314,11-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3314,3/11/2015,12.3314,12.3314,-0.10%,3.73469E-10,1.93253E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3614,12.3614,12.3614,12-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3614,3/12/2015,12.3614,12.3614,0.24%,2.30116E-09,4.79704E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3063,12.3063,12.3063,13-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3063,3/13/2015,12.3063,12.3063,-0.45%,7.72798E-09,8.79089E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3129,12.3129,12.3129,16-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3129,3/16/2015,12.3129,12.3129,0.05%,1.11918E-10,1.05791E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3481,12.3481,12.3481,17-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3481,3/17/2015,12.3481,12.3481,0.29%,3.18127E-09,5.64027E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3457,12.3457,12.3457,18-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3457,3/18/2015,12.3457,12.3457,-0.02%,1.47105E-11,3.83543E-06,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3555,12.3555,12.3555,19-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3555,3/19/2015,12.3555,12.3555,0.08%,2.45468E-10,1.56674E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3397,12.3397,12.3397,20-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3397,3/20/2015,12.3397,12.3397,-0.13%,6.3729E-10,2.52446E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3256,12.3256,12.3256,23-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3256,3/23/2015,12.3256,12.3256,-0.11%,5.09028E-10,2.25616E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3228,12.3228,12.3228,24-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3228,3/24/2015,12.3228,12.3228,-0.02%,2.01271E-11,4.48633E-06,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.3154,12.3154,12.3154,25-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.3154,3/25/2015,12.3154,12.3154,-0.06%,1.40701E-10,1.18617E-05,,,
127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN GROWTH,12.2574,12.2574,12.2574,26-Mar-15,Open Ended Schemes ( Balanced ),Open Ended Schemes , Balanced ,BOI AXA Mutual Fund,46,12.2574,3/26/2015,12.2574,12.2574,-0.47%,8.65725E-09,9.30443E-05,,,
